True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-21.625, -10.375, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-17.125, -10.375, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-17.125, -10.375, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-15.625, -10.375, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-17.875, -9.625, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-18.25, -10.375, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-21.25, -10.0, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.375, -10.0, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-19.75, -10.0, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-15.25, -9.625, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-20.125, -10.375, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-21.25, -10.0, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-17.875, -10.375, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-8.875, -9.625, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.75, -10.0, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-20.125, -10.0, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-6.625, -10.0, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-15.25, -10.0, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-15.25, -10.0, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-17.875, -10.375, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-16.75, -10.0, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-17.125, -10.0, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-17.875, -10.375, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-16.75, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-17.125, -9.625, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-15.625, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-15.25, -10.0, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-13.375, -10.0, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-15.25, -9.625, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-13.0, -10.0, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-19.375, -10.0, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-13.375, -10.0, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-20.125, -9.625, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-12.25, -9.625, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-14.5, -10.0, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-14.5, -9.625, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-18.25, -10.375, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-19.75, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-14.125, -10.375, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-17.875, -9.625, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-13.0, -10.0, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-13.0, -10.0, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-14.125, -10.375, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-19.75, -10.375, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-16.0, -9.625, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-21.25, -10.375, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-16.0, -10.375, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-20.125, -9.625, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-14.125, -10.375, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-18.25, -9.25, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-16.0, -10.375, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-12.625, -9.625, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-16.0, -10.375, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-11.5, -9.25, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-13.375, -9.625, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-13.75, -9.625, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-15.625, -10.375, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-13.0, -9.625, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-16.375, -9.625, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-13.75, -9.25, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-18.625, -10.75, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-14.5, -9.25, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-18.625, -10.75, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-15.625, -9.625, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-14.5, -9.25, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-14.5, -9.25, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-13.375, -9.25, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-20.125, -10.75, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-17.5, -9.625, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-20.125, -10.75, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-16.0, -10.0, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-20.5, -10.0, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-18.25, -10.0, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-19.375, -10.375, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-19.375, -10.375, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-16.375, -9.625, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-17.5, -10.75, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-17.5, -10.75, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-18.625, -10.75, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-10.375, -10.375, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-17.5, -10.75, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-20.875, -10.75, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-16.375, -10.0, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-10.75, -10.375, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-15.25, -10.0, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-17.5, -10.75, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-17.5, -10.75, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-13.0, -9.625, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-15.25, -10.0, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-16.0, -9.625, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-18.25, -10.75, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-17.5, -10.75, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-15.25, -9.625, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-17.875, -10.375, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-15.25, -10.75, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-16.75, -10.75, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-13.75, -9.625, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-17.5, -10.75, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-15.25, -9.625, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-19.0, -10.75, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-18.25, -10.75, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-17.875, -10.375, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-11.875, -10.375, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-18.25, -10.75, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-17.875, -10.0, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-19.375, -10.75, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-11.125, -10.0, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-8.125, -9.625, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-13.375, -10.0, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-16.375, -10.75, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-17.875, -10.375, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-13.375, -10.375, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-14.875, -10.0, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-19.375, -10.75, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-18.25, -10.75, 0.0, NaN)
