True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.0, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-17.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.0, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.0, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.0, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.0, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.0, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.0, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-20.5, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-20.5, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-20.5, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-20.5, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-22.0, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-22.0, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-20.5, -10.75, 0.0, NaN)
