1: Distance(28.37), Percent Closer(99.91)
2: Distance(28.37), Percent Closer(99.83)
3: Distance(25.01), Percent Closer(99.74)
4: Distance(20.44), Percent Closer(99.65)
5: Distance(20.44), Percent Closer(99.57)
6: Distance(20.44), Percent Closer(99.48)
7: Distance(20.44), Percent Closer(99.39)
8: Distance(17.06), Percent Closer(99.3)
9: Distance(17.0), Percent Closer(99.22)
10: Distance(14.49), Percent Closer(99.13)
11: Distance(13.8), Percent Closer(99.04)
12: Distance(13.8), Percent Closer(98.96)
13: Distance(13.57), Percent Closer(98.87)
14: Distance(13.57), Percent Closer(98.78)
15: Distance(13.48), Percent Closer(98.7)
16: Distance(12.61), Percent Closer(98.61)
17: Distance(12.61), Percent Closer(98.52)
18: Distance(12.61), Percent Closer(98.43)
19: Distance(12.26), Percent Closer(98.35)
20: Distance(12.22), Percent Closer(98.26)
21: Distance(12.07), Percent Closer(98.17)
22: Distance(11.59), Percent Closer(98.09)
23: Distance(11.59), Percent Closer(98.0)
24: Distance(11.59), Percent Closer(97.91)
25: Distance(11.59), Percent Closer(97.83)
26: Distance(11.52), Percent Closer(97.74)
27: Distance(11.52), Percent Closer(97.65)
28: Distance(11.52), Percent Closer(97.57)
29: Distance(11.52), Percent Closer(97.48)
30: Distance(11.2), Percent Closer(97.39)
31: Distance(11.2), Percent Closer(97.3)
32: Distance(11.09), Percent Closer(97.22)
33: Distance(11.09), Percent Closer(97.13)
34: Distance(11.09), Percent Closer(97.04)
35: Distance(11.09), Percent Closer(96.96)
36: Distance(11.07), Percent Closer(96.87)
37: Distance(11.0), Percent Closer(96.78)
38: Distance(11.0), Percent Closer(96.7)
39: Distance(10.96), Percent Closer(96.61)
40: Distance(10.77), Percent Closer(96.52)
41: Distance(10.76), Percent Closer(96.43)
42: Distance(10.52), Percent Closer(96.35)
43: Distance(10.52), Percent Closer(96.26)
44: Distance(10.51), Percent Closer(96.17)
45: Distance(10.51), Percent Closer(96.09)
46: Distance(10.44), Percent Closer(96.0)
47: Distance(10.43), Percent Closer(95.91)
48: Distance(10.43), Percent Closer(95.83)
49: Distance(10.43), Percent Closer(95.74)
50: Distance(10.43), Percent Closer(95.65)
51: Distance(10.36), Percent Closer(95.57)
52: Distance(10.25), Percent Closer(95.48)
53: Distance(10.25), Percent Closer(95.39)
54: Distance(10.25), Percent Closer(95.3)
55: Distance(10.25), Percent Closer(95.22)
56: Distance(10.25), Percent Closer(95.13)
57: Distance(10.25), Percent Closer(95.04)
58: Distance(9.88), Percent Closer(94.96)
59: Distance(9.76), Percent Closer(94.87)
60: Distance(9.51), Percent Closer(94.78)
61: Distance(9.48), Percent Closer(94.7)
62: Distance(9.48), Percent Closer(94.61)
63: Distance(9.48), Percent Closer(94.52)
64: Distance(9.48), Percent Closer(94.43)
65: Distance(9.48), Percent Closer(94.35)
66: Distance(9.45), Percent Closer(94.26)
67: Distance(9.4), Percent Closer(94.17)
68: Distance(9.4), Percent Closer(94.09)
69: Distance(9.4), Percent Closer(94.0)
70: Distance(9.08), Percent Closer(93.91)
71: Distance(9.08), Percent Closer(93.83)
72: Distance(9.08), Percent Closer(93.74)
73: Distance(9.08), Percent Closer(93.65)
74: Distance(9.08), Percent Closer(93.57)
75: Distance(9.07), Percent Closer(93.48)
76: Distance(9.07), Percent Closer(93.39)
77: Distance(9.03), Percent Closer(93.3)
78: Distance(9.03), Percent Closer(93.22)
79: Distance(9.0), Percent Closer(93.13)
80: Distance(9.0), Percent Closer(93.04)
81: Distance(9.0), Percent Closer(92.96)
82: Distance(9.0), Percent Closer(92.87)
83: Distance(9.0), Percent Closer(92.78)
84: Distance(9.0), Percent Closer(92.7)
85: Distance(9.0), Percent Closer(92.61)
86: Distance(9.0), Percent Closer(92.52)
87: Distance(9.0), Percent Closer(92.43)
88: Distance(8.96), Percent Closer(92.35)
89: Distance(8.96), Percent Closer(92.26)
90: Distance(8.83), Percent Closer(92.17)
91: Distance(8.83), Percent Closer(92.09)
92: Distance(8.75), Percent Closer(92.0)
93: Distance(8.71), Percent Closer(91.91)
94: Distance(8.71), Percent Closer(91.83)
95: Distance(8.71), Percent Closer(91.74)
96: Distance(8.61), Percent Closer(91.65)
97: Distance(8.61), Percent Closer(91.57)
98: Distance(8.59), Percent Closer(91.48)
99: Distance(8.59), Percent Closer(91.39)
100: Distance(8.59), Percent Closer(91.3)
101: Distance(8.47), Percent Closer(91.22)
102: Distance(8.47), Percent Closer(91.13)
103: Distance(8.47), Percent Closer(91.04)
104: Distance(8.44), Percent Closer(90.96)
105: Distance(8.39), Percent Closer(90.87)
106: Distance(8.37), Percent Closer(90.78)
107: Distance(8.21), Percent Closer(90.7)
108: Distance(8.21), Percent Closer(90.61)
109: Distance(8.21), Percent Closer(90.52)
110: Distance(8.11), Percent Closer(90.43)
111: Distance(8.07), Percent Closer(90.35)
112: Distance(8.03), Percent Closer(90.26)
113: Distance(7.87), Percent Closer(90.17)
114: Distance(7.78), Percent Closer(90.09)
115: Distance(7.78), Percent Closer(90.0)
116: Distance(7.73), Percent Closer(89.91)
117: Distance(7.6), Percent Closer(89.83)
118: Distance(7.59), Percent Closer(89.74)
119: Distance(7.58), Percent Closer(89.65)
120: Distance(7.58), Percent Closer(89.57)
121: Distance(7.58), Percent Closer(89.48)
122: Distance(7.58), Percent Closer(89.39)
123: Distance(7.58), Percent Closer(89.3)
124: Distance(7.58), Percent Closer(89.22)
125: Distance(7.58), Percent Closer(89.13)
126: Distance(7.54), Percent Closer(89.04)
127: Distance(7.54), Percent Closer(88.96)
128: Distance(7.54), Percent Closer(88.87)
129: Distance(7.54), Percent Closer(88.78)
130: Distance(7.53), Percent Closer(88.7)
131: Distance(7.53), Percent Closer(88.61)
132: Distance(7.45), Percent Closer(88.52)
133: Distance(7.45), Percent Closer(88.43)
134: Distance(7.41), Percent Closer(88.35)
135: Distance(7.39), Percent Closer(88.26)
136: Distance(7.39), Percent Closer(88.17)
137: Distance(7.34), Percent Closer(88.09)
138: Distance(7.34), Percent Closer(88.0)
139: Distance(7.34), Percent Closer(87.91)
140: Distance(7.31), Percent Closer(87.83)
141: Distance(7.27), Percent Closer(87.74)
142: Distance(7.27), Percent Closer(87.65)
143: Distance(7.21), Percent Closer(87.57)
144: Distance(7.21), Percent Closer(87.48)
145: Distance(7.21), Percent Closer(87.39)
146: Distance(7.21), Percent Closer(87.3)
147: Distance(7.21), Percent Closer(87.22)
148: Distance(7.21), Percent Closer(87.13)
149: Distance(7.21), Percent Closer(87.04)
150: Distance(7.21), Percent Closer(86.96)
151: Distance(7.21), Percent Closer(86.87)
152: Distance(7.21), Percent Closer(86.78)
153: Distance(7.21), Percent Closer(86.7)
154: Distance(7.21), Percent Closer(86.61)
155: Distance(7.15), Percent Closer(86.52)
156: Distance(7.15), Percent Closer(86.43)
157: Distance(7.13), Percent Closer(86.35)
158: Distance(7.13), Percent Closer(86.26)
159: Distance(7.12), Percent Closer(86.17)
160: Distance(7.12), Percent Closer(86.09)
161: Distance(7.12), Percent Closer(86.0)
162: Distance(7.12), Percent Closer(85.91)
163: Distance(7.12), Percent Closer(85.83)
164: Distance(7.11), Percent Closer(85.74)
165: Distance(7.04), Percent Closer(85.65)
166: Distance(7.04), Percent Closer(85.57)
167: Distance(7.0), Percent Closer(85.48)
168: Distance(7.0), Percent Closer(85.39)
169: Distance(7.0), Percent Closer(85.3)
170: Distance(7.0), Percent Closer(85.22)
171: Distance(7.0), Percent Closer(85.13)
172: Distance(7.0), Percent Closer(85.04)
173: Distance(7.0), Percent Closer(84.96)
174: Distance(7.0), Percent Closer(84.87)
175: Distance(6.95), Percent Closer(84.78)
176: Distance(6.95), Percent Closer(84.7)
177: Distance(6.91), Percent Closer(84.61)
178: Distance(6.91), Percent Closer(84.52)
179: Distance(6.9), Percent Closer(84.43)
180: Distance(6.9), Percent Closer(84.35)
181: Distance(6.84), Percent Closer(84.26)
182: Distance(6.81), Percent Closer(84.17)
183: Distance(6.81), Percent Closer(84.09)
184: Distance(6.81), Percent Closer(84.0)
185: Distance(6.77), Percent Closer(83.91)
186: Distance(6.72), Percent Closer(83.83)
187: Distance(6.72), Percent Closer(83.74)
188: Distance(6.72), Percent Closer(83.65)
189: Distance(6.68), Percent Closer(83.57)
190: Distance(6.68), Percent Closer(83.48)
191: Distance(6.67), Percent Closer(83.39)
192: Distance(6.67), Percent Closer(83.3)
193: Distance(6.67), Percent Closer(83.22)
194: Distance(6.6), Percent Closer(83.13)
195: Distance(6.59), Percent Closer(83.04)
196: Distance(6.59), Percent Closer(82.96)
197: Distance(6.59), Percent Closer(82.87)
198: Distance(6.59), Percent Closer(82.78)
199: Distance(6.59), Percent Closer(82.7)
200: Distance(6.59), Percent Closer(82.61)
201: Distance(6.59), Percent Closer(82.52)
202: Distance(6.59), Percent Closer(82.43)
203: Distance(6.59), Percent Closer(82.35)
204: Distance(6.59), Percent Closer(82.26)
205: Distance(6.59), Percent Closer(82.17)
206: Distance(6.59), Percent Closer(82.09)
207: Distance(6.56), Percent Closer(82.0)
208: Distance(6.53), Percent Closer(81.91)
209: Distance(6.5), Percent Closer(81.83)
210: Distance(6.5), Percent Closer(81.74)
211: Distance(6.5), Percent Closer(81.65)
