Distance(1.549870962370739), Percent Closer or Equal(21.39)
Distance(9.743931444750624), Percent Closer or Equal(90.09)
Distance(1.9166898549321953), Percent Closer or Equal(29.83)
Distance(1.4045639892863553), Percent Closer or Equal(19.83)
Distance(1.9160636732634966), Percent Closer or Equal(29.65)
Distance(4.150301193889427), Percent Closer or Equal(61.74)
Distance(5.001439792699698), Percent Closer or Equal(68.78)
Distance(1.4743473132203282), Percent Closer or Equal(20.61)
Distance(1.1884864324004711), Percent Closer or Equal(14.35)
Distance(3.4990570158258354), Percent Closer or Equal(52.52)
Distance(5.171585830284556), Percent Closer or Equal(70.35)
Distance(2.7875616585108935), Percent Closer or Equal(43.57)
Distance(0.806225774829855), Percent Closer or Equal(7.65)
Distance(3.700608058143958), Percent Closer or Equal(55.74)
Distance(3.8210208060150626), Percent Closer or Equal(57.39)
Distance(4.645696933722646), Percent Closer or Equal(66.26)
Distance(2.6797761100509874), Percent Closer or Equal(41.04)
Distance(1.3803260484392808), Percent Closer or Equal(19.3)
Distance(2.570992026436488), Percent Closer or Equal(39.83)
Distance(13.456660061099855), Percent Closer or Equal(96.7)
Distance(8.880416656891725), Percent Closer or Equal(87.91)
Distance(9.800127550190355), Percent Closer or Equal(90.17)
Distance(1.7383325343558416), Percent Closer or Equal(25.65)
Distance(2.127204738618264), Percent Closer or Equal(32.78)
Distance(0.6319810123729984), Percent Closer or Equal(5.65)
Distance(6.5912821211051185), Percent Closer or Equal(78.17)
Distance(4.407096549884062), Percent Closer or Equal(63.74)
Distance(5.601473020554504), Percent Closer or Equal(72.0)
Distance(4.4418464629025625), Percent Closer or Equal(63.83)
Distance(3.67009536660834), Percent Closer or Equal(55.13)
Distance(1.3038404810405304), Percent Closer or Equal(17.57)
Distance(10.436284060909802), Percent Closer or Equal(92.26)
Distance(2.596998267230842), Percent Closer or Equal(40.17)
Distance(3.5584406697316173), Percent Closer or Equal(52.96)
Distance(10.82831935251265), Percent Closer or Equal(92.87)
Distance(3.486043602710671), Percent Closer or Equal(52.35)
Distance(1.132077735846793), Percent Closer or Equal(13.39)
Distance(2.001249609618949), Percent Closer or Equal(31.04)
Distance(4.166881327803805), Percent Closer or Equal(62.0)
Distance(14.763448106726287), Percent Closer or Equal(97.65)
Distance(0.4401136216933079), Percent Closer or Equal(1.83)
Distance(0.5099019513592784), Percent Closer or Equal(2.43)
Distance(1.677647161950331), Percent Closer or Equal(24.35)
Distance(1.62825059496381), Percent Closer or Equal(23.13)
Distance(3.8003289331319734), Percent Closer or Equal(57.22)
Distance(5.905294234837076), Percent Closer or Equal(74.09)
Distance(4.083833982913605), Percent Closer or Equal(60.96)
Distance(3.3236425800618217), Percent Closer or Equal(51.13)
Distance(3.2901367752724204), Percent Closer or Equal(50.43)
Distance(0.943398113205661), Percent Closer or Equal(10.43)
Distance(4.455333881989091), Percent Closer or Equal(64.0)
Distance(6.070625997374571), Percent Closer or Equal(75.22)
Distance(3.3003787661418498), Percent Closer or Equal(50.96)
Distance(1.798471573308847), Percent Closer or Equal(27.39)
Distance(20.033604268827915), Percent Closer or Equal(98.52)
Distance(4.207433897282285), Percent Closer or Equal(62.43)
Distance(2.1644860821913365), Percent Closer or Equal(33.3)
Distance(1.5980613254815978), Percent Closer or Equal(22.43)
Distance(1.077032961426901), Percent Closer or Equal(12.87)
Distance(5.66414159427534), Percent Closer or Equal(72.26)
Distance(2.7789386463180508), Percent Closer or Equal(42.43)
Distance(6.972266489456638), Percent Closer or Equal(80.96)
Distance(1.4999999999999984), Percent Closer or Equal(20.87)
Distance(1.5532224567009072), Percent Closer or Equal(21.74)
Distance(1.4962620091414476), Percent Closer or Equal(20.78)
Distance(5.050247518686585), Percent Closer or Equal(69.22)
Distance(4.236153915995026), Percent Closer or Equal(62.61)
Distance(7.061338400048535), Percent Closer or Equal(81.57)
Distance(2.279034883453959), Percent Closer or Equal(35.13)
Distance(8.074515465339083), Percent Closer or Equal(85.04)
Distance(4.2926215766125955), Percent Closer or Equal(63.04)
Distance(1.69118301789014), Percent Closer or Equal(24.52)
Distance(14.661302807049585), Percent Closer or Equal(97.57)
Distance(4.0152833025827706), Percent Closer or Equal(59.74)
Distance(1.0700467279516344), Percent Closer or Equal(12.78)
Distance(1.9319679086361643), Percent Closer or Equal(30.35)
Distance(4.069705149024927), Percent Closer or Equal(60.87)
Distance(2.567586415293554), Percent Closer or Equal(39.74)
Distance(2.717094035914105), Percent Closer or Equal(41.65)
Distance(5.795903725908497), Percent Closer or Equal(73.57)
Distance(2.6348624252510793), Percent Closer or Equal(40.43)
Distance(5.000249993750313), Percent Closer or Equal(68.7)
Distance(4.754671387172831), Percent Closer or Equal(67.04)
Distance(2.370527367485978), Percent Closer or Equal(37.22)
Distance(3.421257078911201), Percent Closer or Equal(51.91)
Distance(4.767074574621212), Percent Closer or Equal(67.57)
Distance(1.328533025558642), Percent Closer or Equal(17.74)
Distance(1.9666468925559564), Percent Closer or Equal(30.78)
Distance(8.875770389098628), Percent Closer or Equal(87.57)
Distance(1.170982493464356), Percent Closer or Equal(13.83)
Distance(2.3530618351416095), Percent Closer or Equal(36.87)
Distance(1.8146349495146399), Percent Closer or Equal(28.35)
Distance(9.62532077387554), Percent Closer or Equal(89.3)
Distance(2.648811054039152), Percent Closer or Equal(40.78)
Distance(12.669846092198595), Percent Closer or Equal(96.26)
Distance(13.236861410470384), Percent Closer or Equal(96.61)
Distance(3.7674527203403634), Percent Closer or Equal(57.04)
Distance(3.7304825425137698), Percent Closer or Equal(56.43)
Distance(1.619012044427095), Percent Closer or Equal(22.96)
Distance(2.6457702092207476), Percent Closer or Equal(40.61)
Distance(0.8102468759581861), Percent Closer or Equal(7.83)
Distance(4.532593076815963), Percent Closer or Equal(65.22)
Distance(12.750560771981757), Percent Closer or Equal(96.43)
Distance(3.2328470424689137), Percent Closer or Equal(49.83)
Distance(0.9178779875342911), Percent Closer or Equal(9.65)
Distance(1.0511898020814316), Percent Closer or Equal(12.09)
Distance(1.7831432920547912), Percent Closer or Equal(26.26)
Distance(8.280368349294614), Percent Closer or Equal(86.17)
Distance(2.901723625709382), Percent Closer or Equal(45.74)
Distance(2.10774761297457), Percent Closer or Equal(32.52)
Distance(7.431211206795296), Percent Closer or Equal(82.78)
Distance(11.423769080299198), Percent Closer or Equal(94.17)
Distance(0.8967719888578144), Percent Closer or Equal(9.39)
Distance(11.171360704945483), Percent Closer or Equal(93.74)
Distance(3.5721282171837), Percent Closer or Equal(53.13)
Distance(1.9300259065618781), Percent Closer or Equal(30.09)
Distance(8.87693640846886), Percent Closer or Equal(87.83)
Distance(13.210367140999528), Percent Closer or Equal(96.52)
Distance(1.8278129007094792), Percent Closer or Equal(28.61)
Distance(11.488816301081673), Percent Closer or Equal(94.26)
Distance(4.1967249135486595), Percent Closer or Equal(62.26)
Distance(7.002856560004639), Percent Closer or Equal(81.04)
Distance(3.324154027718932), Percent Closer or Equal(51.22)
Distance(10.446171547509643), Percent Closer or Equal(92.43)
Distance(4.116952756590729), Percent Closer or Equal(61.39)
Distance(4.554876507656382), Percent Closer or Equal(65.74)
Distance(4.447752241301218), Percent Closer or Equal(63.91)
Distance(0.43011626335213105), Percent Closer or Equal(1.65)
Distance(3.6513696060519543), Percent Closer or Equal(54.35)
Distance(3.0328864139627782), Percent Closer or Equal(47.83)
Distance(2.9007068104170743), Percent Closer or Equal(45.65)
Distance(5.960914359391519), Percent Closer or Equal(74.26)
Distance(1.011780608630152), Percent Closer or Equal(11.65)
