1: Distance(30.680006518904133), Percent Closer or Equal(99.91)
2: Distance(30.680006518904133), Percent Closer or Equal(99.91)
3: Distance(30.680006518904133), Percent Closer or Equal(99.91)
4: Distance(30.680006518904133), Percent Closer or Equal(99.91)
5: Distance(30.680006518904133), Percent Closer or Equal(99.91)
6: Distance(30.680006518904133), Percent Closer or Equal(99.91)
7: Distance(30.680006518904133), Percent Closer or Equal(99.91)
8: Distance(30.680006518904133), Percent Closer or Equal(99.91)
9: Distance(30.680006518904133), Percent Closer or Equal(99.91)
10: Distance(30.680006518904133), Percent Closer or Equal(99.91)
11: Distance(30.680006518904133), Percent Closer or Equal(99.91)
12: Distance(30.680006518904133), Percent Closer or Equal(99.91)
13: Distance(30.680006518904133), Percent Closer or Equal(99.91)
14: Distance(30.680006518904133), Percent Closer or Equal(99.91)
15: Distance(30.680006518904133), Percent Closer or Equal(99.91)
16: Distance(30.680006518904133), Percent Closer or Equal(99.91)
17: Distance(30.680006518904133), Percent Closer or Equal(99.91)
18: Distance(30.680006518904133), Percent Closer or Equal(99.91)
19: Distance(30.680006518904133), Percent Closer or Equal(99.91)
20: Distance(30.680006518904133), Percent Closer or Equal(99.91)
21: Distance(30.680006518904133), Percent Closer or Equal(99.91)
22: Distance(30.680006518904133), Percent Closer or Equal(99.91)
23: Distance(30.680006518904133), Percent Closer or Equal(99.91)
24: Distance(30.680006518904133), Percent Closer or Equal(99.91)
25: Distance(30.680006518904133), Percent Closer or Equal(99.91)
26: Distance(30.371730276689867), Percent Closer or Equal(97.74)
27: Distance(30.371730276689867), Percent Closer or Equal(97.74)
28: Distance(30.371730276689867), Percent Closer or Equal(97.74)
29: Distance(30.371730276689867), Percent Closer or Equal(97.74)
30: Distance(30.371730276689867), Percent Closer or Equal(97.74)
31: Distance(30.371730276689867), Percent Closer or Equal(97.74)
32: Distance(30.371730276689867), Percent Closer or Equal(97.74)
33: Distance(30.371730276689867), Percent Closer or Equal(97.74)
34: Distance(30.371730276689867), Percent Closer or Equal(97.74)
35: Distance(30.371730276689867), Percent Closer or Equal(97.74)
36: Distance(30.371730276689867), Percent Closer or Equal(97.74)
37: Distance(30.371730276689867), Percent Closer or Equal(97.74)
38: Distance(30.371730276689867), Percent Closer or Equal(97.74)
39: Distance(30.371730276689867), Percent Closer or Equal(97.74)
40: Distance(30.371730276689867), Percent Closer or Equal(97.74)
41: Distance(30.371730276689867), Percent Closer or Equal(97.74)
42: Distance(30.371730276689867), Percent Closer or Equal(97.74)
43: Distance(30.371730276689867), Percent Closer or Equal(97.74)
44: Distance(30.371730276689867), Percent Closer or Equal(97.74)
45: Distance(30.371730276689867), Percent Closer or Equal(97.74)
46: Distance(30.371730276689867), Percent Closer or Equal(97.74)
47: Distance(30.371730276689867), Percent Closer or Equal(97.74)
48: Distance(30.371730276689867), Percent Closer or Equal(97.74)
49: Distance(30.371730276689867), Percent Closer or Equal(97.74)
50: Distance(30.371730276689867), Percent Closer or Equal(97.74)
51: Distance(30.063645820159604), Percent Closer or Equal(95.57)
52: Distance(30.063645820159604), Percent Closer or Equal(95.57)
53: Distance(30.063645820159604), Percent Closer or Equal(95.57)
54: Distance(30.063645820159604), Percent Closer or Equal(95.57)
55: Distance(30.063645820159604), Percent Closer or Equal(95.57)
56: Distance(30.063645820159604), Percent Closer or Equal(95.57)
57: Distance(30.063645820159604), Percent Closer or Equal(95.57)
58: Distance(30.063645820159604), Percent Closer or Equal(95.57)
59: Distance(30.063645820159604), Percent Closer or Equal(95.57)
60: Distance(30.063645820159604), Percent Closer or Equal(95.57)
61: Distance(30.063645820159604), Percent Closer or Equal(95.57)
62: Distance(30.063645820159604), Percent Closer or Equal(95.57)
63: Distance(30.063645820159604), Percent Closer or Equal(95.57)
64: Distance(30.063645820159604), Percent Closer or Equal(95.57)
65: Distance(30.063645820159604), Percent Closer or Equal(95.57)
66: Distance(30.063645820159604), Percent Closer or Equal(95.57)
67: Distance(30.063645820159604), Percent Closer or Equal(95.57)
68: Distance(30.063645820159604), Percent Closer or Equal(95.57)
69: Distance(30.063645820159604), Percent Closer or Equal(95.57)
70: Distance(30.063645820159604), Percent Closer or Equal(95.57)
71: Distance(30.063645820159604), Percent Closer or Equal(95.57)
72: Distance(30.063645820159604), Percent Closer or Equal(95.57)
73: Distance(30.063645820159604), Percent Closer or Equal(95.57)
74: Distance(30.063645820159604), Percent Closer or Equal(95.57)
75: Distance(30.063645820159604), Percent Closer or Equal(95.57)
76: Distance(26.435190561068403), Percent Closer or Equal(93.39)
77: Distance(26.435190561068403), Percent Closer or Equal(93.39)
78: Distance(26.435190561068403), Percent Closer or Equal(93.39)
79: Distance(26.435190561068403), Percent Closer or Equal(93.39)
80: Distance(26.435190561068403), Percent Closer or Equal(93.39)
81: Distance(26.435190561068403), Percent Closer or Equal(93.39)
82: Distance(26.435190561068403), Percent Closer or Equal(93.39)
83: Distance(26.435190561068403), Percent Closer or Equal(93.39)
84: Distance(26.435190561068403), Percent Closer or Equal(93.39)
85: Distance(26.435190561068403), Percent Closer or Equal(93.39)
86: Distance(26.435190561068403), Percent Closer or Equal(93.39)
87: Distance(26.435190561068403), Percent Closer or Equal(93.39)
88: Distance(26.435190561068403), Percent Closer or Equal(93.39)
89: Distance(26.435190561068403), Percent Closer or Equal(93.39)
90: Distance(26.435190561068403), Percent Closer or Equal(93.39)
91: Distance(26.435190561068403), Percent Closer or Equal(93.39)
92: Distance(26.435190561068403), Percent Closer or Equal(93.39)
93: Distance(26.435190561068403), Percent Closer or Equal(93.39)
94: Distance(26.435190561068403), Percent Closer or Equal(93.39)
95: Distance(26.435190561068403), Percent Closer or Equal(93.39)
96: Distance(26.435190561068403), Percent Closer or Equal(93.39)
97: Distance(26.435190561068403), Percent Closer or Equal(93.39)
98: Distance(26.435190561068403), Percent Closer or Equal(93.39)
99: Distance(26.435190561068403), Percent Closer or Equal(93.39)
100: Distance(26.435190561068403), Percent Closer or Equal(93.39)
101: Distance(24.730978549179973), Percent Closer or Equal(91.22)
102: Distance(24.730978549179973), Percent Closer or Equal(91.22)
103: Distance(24.730978549179973), Percent Closer or Equal(91.22)
104: Distance(24.730978549179973), Percent Closer or Equal(91.22)
105: Distance(23.452106515193897), Percent Closer or Equal(90.87)
