Distance(1.549870962370739), Percent Closer or Equal(7.74)
Distance(34.84420755304962), Percent Closer or Equal(99.3)
Distance(1.4045639892863553), Percent Closer or Equal(7.13)
Distance(2.363260459619294), Percent Closer or Equal(13.13)
Distance(1.9160636732634955), Percent Closer or Equal(9.83)
Distance(3.886450823051798), Percent Closer or Equal(33.57)
Distance(9.75919054020363), Percent Closer or Equal(70.35)
Distance(6.0601155104502755), Percent Closer or Equal(51.48)
Distance(4.4823654469487435), Percent Closer or Equal(38.43)
Distance(0.9838699100999065), Percent Closer or Equal(3.48)
Distance(2.7802877548915683), Percent Closer or Equal(17.39)
Distance(5.092671204780454), Percent Closer or Equal(45.57)
Distance(6.226989641873511), Percent Closer or Equal(52.43)
Distance(2.358495283014151), Percent Closer or Equal(13.04)
Distance(2.4351591323771844), Percent Closer or Equal(13.65)
Distance(4.578550534830865), Percent Closer or Equal(39.65)
Distance(3.024516490284025), Percent Closer or Equal(22.61)
Distance(15.390298892484187), Percent Closer or Equal(84.61)
Distance(3.700608058143958), Percent Closer or Equal(32.26)
Distance(10.332240802459067), Percent Closer or Equal(72.43)
Distance(2.7540878707840823), Percent Closer or Equal(17.04)
Distance(2.980771712157776), Percent Closer or Equal(21.04)
Distance(4.1381759266614075), Percent Closer or Equal(34.78)
Distance(7.567198953377665), Percent Closer or Equal(60.35)
Distance(4.823287260779727), Percent Closer or Equal(43.3)
Distance(11.727744881263405), Percent Closer or Equal(76.26)
Distance(3.025243791829016), Percent Closer or Equal(23.3)
Distance(6.8406432446079215), Percent Closer or Equal(58.17)
Distance(4.2933087473416105), Percent Closer or Equal(35.48)
Distance(2.7225906780123963), Percent Closer or Equal(15.65)
Distance(31.81826676612037), Percent Closer or Equal(99.22)
Distance(3.080584360149872), Percent Closer or Equal(23.39)
Distance(3.486043602710671), Percent Closer or Equal(30.0)
Distance(2.2078269859751236), Percent Closer or Equal(11.04)
Distance(1.1099999999999994), Percent Closer or Equal(4.78)
Distance(2.0721245136332906), Percent Closer or Equal(10.52)
Distance(5.81172951882656), Percent Closer or Equal(51.22)
Distance(8.586931931720432), Percent Closer or Equal(67.22)
Distance(10.51104181325524), Percent Closer or Equal(72.78)
Distance(11.468434941176586), Percent Closer or Equal(75.83)
Distance(2.4203305559365225), Percent Closer or Equal(13.3)
Distance(6.501115288933122), Percent Closer or Equal(54.78)
Distance(5.5470712993434645), Percent Closer or Equal(49.65)
Distance(3.411773732239581), Percent Closer or Equal(27.57)
Distance(3.979472326829275), Percent Closer or Equal(34.43)
Distance(1.1768602295939823), Percent Closer or Equal(5.48)
Distance(4.207433897282285), Percent Closer or Equal(35.13)
Distance(6.553716502870718), Percent Closer or Equal(55.57)
Distance(1.2539936203984456), Percent Closer or Equal(6.35)
Distance(3.639024594585753), Percent Closer or Equal(31.74)
Distance(5.360037313302959), Percent Closer or Equal(48.43)
Distance(3.101612483854164), Percent Closer or Equal(23.48)
Distance(7.539363368348815), Percent Closer or Equal(60.17)
Distance(8.958934088383506), Percent Closer or Equal(68.0)
Distance(12.721587951195401), Percent Closer or Equal(78.61)
Distance(0.8558621384311841), Percent Closer or Equal(3.22)
Distance(9.010022197530924), Percent Closer or Equal(68.35)
Distance(3.4677081768799405), Percent Closer or Equal(28.43)
Distance(2.279034883453959), Percent Closer or Equal(12.26)
Distance(1.69118301789014), Percent Closer or Equal(8.96)
Distance(18.40332850328983), Percent Closer or Equal(87.13)
Distance(16.187417953460024), Percent Closer or Equal(85.91)
Distance(14.661302807049585), Percent Closer or Equal(81.22)
Distance(5.770129981204929), Percent Closer or Equal(51.13)
Distance(5.035871324805669), Percent Closer or Equal(45.22)
Distance(5.265472438442727), Percent Closer or Equal(48.26)
Distance(4.11526426854947), Percent Closer or Equal(34.61)
Distance(10.762569395827374), Percent Closer or Equal(73.22)
Distance(9.050138120492969), Percent Closer or Equal(68.43)
Distance(8.253029746705145), Percent Closer or Equal(66.96)
Distance(6.08481717063052), Percent Closer or Equal(52.09)
Distance(2.5675864152935537), Percent Closer or Equal(15.04)
Distance(3.1798899352021603), Percent Closer or Equal(25.74)
Distance(4.651881339845202), Percent Closer or Equal(41.65)
Distance(5.211237856786044), Percent Closer or Equal(46.96)
Distance(1.5913830462839536), Percent Closer or Equal(8.35)
Distance(2.940017006753533), Percent Closer or Equal(20.26)
Distance(8.14499232657711), Percent Closer or Equal(65.22)
Distance(6.550190836914601), Percent Closer or Equal(55.48)
Distance(10.206272581114026), Percent Closer or Equal(72.17)
Distance(1.2042009799032716), Percent Closer or Equal(6.26)
Distance(2.5520384009650012), Percent Closer or Equal(14.96)
Distance(8.707037383633999), Percent Closer or Equal(67.48)
Distance(2.3530618351416095), Percent Closer or Equal(12.7)
Distance(23.395753888259296), Percent Closer or Equal(91.13)
Distance(2.9865029717045326), Percent Closer or Equal(21.13)
Distance(5.9625917183721375), Percent Closer or Equal(51.3)
Distance(5.003698632012124), Percent Closer or Equal(45.13)
Distance(8.032334654382872), Percent Closer or Equal(64.87)
Distance(11.232154735401396), Percent Closer or Equal(75.13)
Distance(5.060918888897549), Percent Closer or Equal(45.39)
Distance(2.407862122298534), Percent Closer or Equal(13.22)
Distance(2.648811054039152), Percent Closer or Equal(15.39)
Distance(14.3), Percent Closer or Equal(81.04)
Distance(9.762233351031924), Percent Closer or Equal(70.43)
Distance(6.448457179822163), Percent Closer or Equal(54.0)
Distance(7.975669250915562), Percent Closer or Equal(62.43)
Distance(0.850881895447306), Percent Closer or Equal(3.04)
Distance(1.1400000000000006), Percent Closer or Equal(4.87)
Distance(2.9192636057745793), Percent Closer or Equal(20.09)
Distance(2.6457702092207476), Percent Closer or Equal(15.22)
Distance(4.532593076815963), Percent Closer or Equal(38.96)
Distance(6.665710764802205), Percent Closer or Equal(57.22)
Distance(2.033371584339666), Percent Closer or Equal(10.09)
Distance(2.7322152184628505), Percent Closer or Equal(16.7)
Distance(1.4035668847618203), Percent Closer or Equal(6.96)
Distance(4.393008650116683), Percent Closer or Equal(36.17)
Distance(4.516381294797861), Percent Closer or Equal(38.7)
Distance(4.1746496859018), Percent Closer or Equal(34.87)
Distance(5.751912725346239), Percent Closer or Equal(50.87)
Distance(4.61767257392726), Percent Closer or Equal(40.78)
